month,lost to interest,lost to all fees,average loss per month,total lost,mortgage left
1/1,420.0,886.67,886.67,886.67,159293.67
2/1,418.15,884.81,885.74,1771.48,158585.49
3/1,416.29,882.95,884.81,2654.43,157875.45
4/1,414.42,881.09,883.88,3535.52,157163.54
5/1,412.55,879.22,882.95,4414.74,156449.77
6/1,410.68,877.35,882.02,5292.09,155734.12
7/1,408.8,875.47,881.08,6167.56,155016.59
8/1,406.92,873.59,880.14,7041.14,154297.18
9/1,405.03,871.7,879.2,7912.84,153575.88
10/1,403.14,869.8,878.26,8782.64,152852.69
11/1,401.24,867.9,877.32,9650.55,152127.6
12/1,399.33,866.0,876.38,10516.55,151400.6
1/2,397.43,864.09,875.43,11380.64,150671.7
2/2,395.51,862.18,874.49,12242.82,149940.88
3/2,393.59,860.26,873.54,13103.09,149208.15
4/2,391.67,858.34,872.59,13961.42,148473.49
5/2,389.74,856.41,871.64,14817.83,147736.91
6/2,387.81,854.48,870.68,15672.31,146998.39
7/2,385.87,852.54,869.73,16524.85,146257.93
8/2,383.93,850.59,868.77,17375.44,145515.53
9/2,381.98,848.64,867.81,18224.09,144771.18
10/2,380.02,846.69,866.85,19070.78,144024.87
11/2,378.07,844.73,865.89,19915.51,143276.61
12/2,376.1,842.77,864.93,20758.28,142526.38
1/3,374.13,840.8,863.96,21599.07,141774.18
2/3,372.16,838.82,863.0,22437.9,141020.01
3/3,370.18,836.84,862.03,23274.74,140263.86
4/3,368.19,834.86,861.06,24109.6,139505.72
5/3,366.2,832.87,860.09,24942.47,138745.6
6/3,364.21,830.87,859.11,25773.35,137983.47
7/3,362.21,828.87,858.14,26602.22,137219.35
8/3,360.2,826.87,857.16,27429.09,136453.22
9/3,358.19,824.86,856.18,28253.94,135685.08
10/3,356.17,822.84,855.2,29076.78,134914.93
11/3,354.15,820.82,854.22,29897.6,134142.75
12/3,352.12,818.79,853.23,30716.39,133368.55
1/4,350.09,816.76,852.25,31533.15,132592.31
2/4,348.05,814.72,851.26,32347.87,131814.04
3/4,346.01,812.68,850.27,33160.55,131033.72
4/4,343.96,810.63,849.28,33971.18,130251.35
5/4,341.91,808.58,848.29,34779.76,129466.93
6/4,339.85,806.52,847.29,35586.28,128680.46
7/4,337.79,804.45,846.3,36390.73,127891.91
8/4,335.72,802.38,845.3,37193.11,127101.3
9/4,333.64,800.31,844.3,37993.42,126308.61
10/4,331.56,798.23,843.3,38791.65,125513.84
11/4,329.47,796.14,842.29,39587.79,124716.99
12/4,327.38,794.05,841.29,40381.83,123918.04
1/5,325.28,791.95,840.28,41173.79,123117.0
2/5,323.18,789.85,839.27,41963.64,122313.85
3/5,321.07,787.74,838.26,42751.38,121508.6
4/5,318.96,785.63,837.25,43537.0,120701.23
5/5,316.84,783.51,836.24,44320.51,119891.74
6/5,314.72,781.38,835.22,45101.89,119080.13
7/5,312.59,779.25,834.2,45881.14,118266.38
8/5,310.45,777.12,833.18,46658.26,117450.5
9/5,308.31,774.97,832.16,47433.23,116632.48
10/5,306.16,772.83,831.14,48206.06,115812.31
11/5,304.01,770.67,830.11,48976.74,114989.99
12/5,301.85,768.52,829.09,49745.25,114165.51
1/6,299.68,766.35,828.06,50511.6,113338.86
2/6,297.51,764.18,827.03,51275.78,112510.05
3/6,295.34,762.01,826.0,52037.79,111679.06
4/6,293.16,759.82,824.96,52797.61,110845.89
5/6,290.97,757.64,823.93,53555.25,110010.53
6/6,288.78,755.44,822.89,54310.69,109172.98
7/6,286.58,753.25,821.85,55063.94,108333.23
8/6,284.37,751.04,820.81,55814.98,107491.27
