month,lost to interest,lost to all fees,average loss per month,total lost,mortgage left
9/6,282.16,748.83,819.77,56563.81,106647.11
10/6,279.95,746.62,818.72,57310.43,105800.73
11/6,277.73,744.39,817.67,58054.82,104952.13
12/6,275.5,742.17,816.62,58796.99,104101.3
1/7,273.27,739.93,815.57,59536.92,103248.23
2/7,271.03,737.69,814.52,60274.61,102392.93
3/7,268.78,735.45,813.47,61010.06,101535.38
4/7,266.53,733.2,812.41,61743.26,100675.59
5/7,264.27,730.94,811.35,62474.2,99813.53
6/7,262.01,728.68,810.29,63202.88,98949.21
7/7,259.74,726.41,809.23,63929.28,98082.62
8/7,257.47,724.13,808.17,64653.42,97213.76
9/7,255.19,721.85,807.1,65375.27,96342.62
10/7,252.9,719.57,806.03,66094.84,95469.19
11/7,250.61,717.27,804.97,66812.11,94593.47
12/7,248.31,714.97,803.89,67527.08,93715.45
1/8,246.0,712.67,802.82,68239.75,92835.12
2/8,243.69,710.36,801.75,68950.11,91952.48
3/8,241.38,708.04,800.67,69658.15,91067.53
4/8,239.05,705.72,799.59,70363.87,90180.25
5/8,236.72,703.39,798.51,71067.26,89290.65
6/8,234.39,701.05,797.43,71768.32,88398.71
7/8,232.05,698.71,796.34,72467.03,87504.42
8/8,229.7,696.37,795.25,73163.4,86607.79
9/8,227.35,694.01,794.17,73857.41,85708.81
10/8,224.99,691.65,793.08,74549.06,84807.47
11/8,222.62,689.29,791.98,75238.35,83903.76
12/8,220.25,686.91,790.89,75925.26,82997.68
1/9,217.87,684.54,789.79,76609.8,82089.22
2/9,215.48,682.15,788.69,77291.95,81178.37
3/9,213.09,679.76,787.59,77971.71,80265.14
4/9,210.7,677.36,786.49,78649.07,79349.5
5/9,208.29,674.96,785.39,79324.03,78431.47
6/9,205.88,672.55,784.28,79996.58,77511.02
7/9,203.47,670.13,783.17,80666.71,76588.16
8/9,201.04,667.71,782.06,81334.42,75662.87
9/9,198.62,665.28,780.95,81999.7,74735.16
10/9,196.18,662.85,779.84,82662.55,73805.01
11/9,193.74,660.4,778.72,83322.96,72872.42
12/9,191.29,657.96,777.6,83980.91,71937.38
1/10,188.84,655.5,776.48,84636.42,70999.89
2/10,186.37,653.04,775.36,85289.46,70059.93
3/10,183.91,650.57,774.23,85940.03,69117.51
4/10,181.43,648.1,773.11,86588.13,68172.61
5/10,178.95,645.62,771.98,87233.75,67225.24
6/10,176.47,643.13,770.85,87876.88,66275.37
7/10,173.97,640.64,769.72,88517.52,65323.02
8/10,171.47,638.14,768.58,89155.66,64368.16
9/10,168.97,635.63,767.45,89791.3,63410.8
10/10,166.45,633.12,766.31,90424.42,62450.92
11/10,163.93,630.6,765.17,91055.02,61488.53
12/10,161.41,628.07,764.03,91683.09,60523.61
1/11,158.87,625.54,762.88,92308.63,59556.15
2/11,156.33,623.0,761.73,92931.63,58586.16
3/11,153.79,620.46,760.59,93552.09,57613.62
4/11,151.24,617.9,759.44,94169.99,56638.53
5/11,148.68,615.34,758.28,94785.33,55660.87
6/11,146.11,612.78,757.13,95398.11,54680.65
7/11,143.54,610.2,755.97,96008.31,53697.86
8/11,140.96,607.62,754.81,96615.94,52712.49
9/11,138.37,605.04,753.65,97220.97,51724.53
10/11,135.78,602.44,752.49,97823.42,50733.98
11/11,133.18,599.84,751.32,98423.26,49740.83
12/11,130.57,597.24,750.16,99020.5,48745.07
1/12,127.96,594.62,748.99,99615.12,47746.69
2/12,125.34,592.0,747.81,100207.12,46745.7
3/12,122.71,589.37,746.64,100796.5,45742.08
4/12,120.07,586.74,745.46,101383.23,44735.82
5/12,117.43,584.1,744.29,101967.33,43726.92
6/12,114.78,581.45,743.11,102548.78,42715.38
7/12,112.13,578.79,741.93,103127.58,41701.18
8/12,109.47,576.13,740.74,103703.71,40684.31
9/12,106.8,573.46,739.55,104277.17,39664.78
10/12,104.12,570.79,738.37,104847.96,38642.57
11/12,101.44,568.1,737.18,105416.06,37617.68
12/12,98.75,565.41,735.98,105981.48,36590.1
1/13,96.05,562.72,734.79,106544.19,35559.82
2/13,93.34,560.01,733.59,107104.2,34526.83
3/13,90.63,557.3,732.39,107661.5,33491.14
4/13,87.91,554.58,731.19,108216.08,32452.72
5/13,85.19,551.86,729.99,108767.94,31411.58
6/13,82.46,549.12,728.78,109317.06,30367.71
7/13,79.72,546.38,727.57,109863.44,29321.09
8/13,76.97,543.63,726.36,110407.08,28271.73
9/13,74.21,540.88,725.15,110947.96,27219.62
10/13,71.45,538.12,723.94,111486.07,26164.74
11/13,68.68,535.35,722.72,112021.42,25107.09
12/13,65.91,532.57,721.5,112554.0,24046.67
1/14,63.12,529.79,720.28,113083.79,22983.46
2/14,60.33,527.0,719.06,113610.78,21917.47
3/14,57.53,524.2,717.83,114134.98,20848.67
4/14,54.73,521.39,716.6,114656.38,19777.07
5/14,51.91,518.58,715.37,115174.96,18702.65
6/14,49.09,515.76,714.14,115690.72,17625.42
7/14,46.27,512.93,712.91,116203.65,16545.36
8/14,43.43,510.1,711.67,116713.75,15462.46
9/14,40.59,507.26,710.43,117221.01,14376.72
10/14,37.74,504.41,709.19,117725.41,13288.13
11/14,34.88,501.55,707.95,118226.96,12196.68
12/14,32.02,498.68,706.7,118725.64,11102.37
1/15,29.14,495.81,705.45,119221.46,10005.18
2/15,26.26,492.93,704.2,119714.39,8905.12
3/15,23.38,490.04,702.95,120204.43,7802.17
4/15,20.48,487.15,701.7,120691.58,6696.32
5/15,17.58,484.24,700.44,121175.82,5587.57
6/15,14.67,481.33,699.18,121657.15,4475.9
7/15,11.75,478.42,697.92,122135.57,3361.32
8/15,8.82,475.49,696.65,122611.06,2243.82
9/15,5.89,472.56,695.39,123083.62,1123.38
10/15,2.95,469.62,694.12,123553.23,0.0
